domain,support_seed,arm,variant,condition,temperature,count,macro_f1,balanced_accuracy,nll,brier,ece
hawaii-wildfire,0,lora4,temperature,gaussian8,1.8881217525718474,60,0.4205456800330715,0.4754216459021951,1.0697825906985088,0.6471725363738299,0.12269537820542355
hawaii-wildfire,0,lora4,raw,jpeg40,1.8881217525718474,60,0.3537251765960283,0.4248665141113654,1.0751065580049675,0.6511987579513546,0.056455848439773255
hawaii-wildfire,0,lora4,temperature,jpeg40,1.8881217525718474,60,0.3537251765960283,0.4248665141113654,1.0794599108019467,0.6539165807162751,0.071371637683667
hawaii-wildfire,0,lora4,raw,jpeg70,1.8881217525718474,60,0.3940406571985519,0.4517755742012035,1.0602592776678608,0.6414285329158219,0.15282119147656803
hawaii-wildfire,0,lora4,temperature,jpeg70,1.8881217525718474,60,0.3940406571985519,0.4517755742012035,1.0714855811801796,0.6485103939823624,0.10655823771765975
hawaii-wildfire,0,aperture,raw,clean,2.6670428643266484,60,0.32263653483992466,0.3490973811339944,1.0828185433814517,0.6599486100405016,0.05221533429946768
hawaii-wildfire,0,aperture,temperature,clean,2.6670428643266484,60,0.32263653483992466,0.3490973811339944,1.084464626079984,0.6579782089092788,0.01732323407845031
hawaii-wildfire,0,aperture,raw,gaussian4,2.6670428643266484,60,0.25507788691868294,0.31545046190355114,1.0954491569492768,0.6681598912835334,0.11726647730570608
hawaii-wildfire,0,aperture,temperature,gaussian4,2.6670428643266484,60,0.25507788691868294,0.31545046190355114,1.0873476899810306,0.6596583736431267,0.02138014509742533
hawaii-wildfire,0,aperture,raw,gaussian8,2.6670428643266484,60,0.28690020069330413,0.3091363674887702,1.097308195710434,0.6685752181744218,0.09620613026138061
hawaii-wildfire,0,aperture,temperature,gaussian8,2.6670428643266484,60,0.28690020069330413,0.3091363674887702,1.0888538261656415,0.6605827190820833,0.035110238242040355
hawaii-wildfire,0,aperture,raw,jpeg40,2.6670428643266484,60,0.32287157287157287,0.34409695736926854,1.109568306278951,0.6767853001353235,0.11496993114035013
hawaii-wildfire,0,aperture,temperature,jpeg40,2.6670428643266484,60,0.32287157287157287,0.34409695736926854,1.092692448069628,0.6634129523342127,0.005638722509531341
hawaii-wildfire,0,aperture,raw,jpeg70,2.6670428643266484,60,0.3531327543424318,0.3771082295109755,1.087355539392687,0.6619884634487115,0.0186199696626021
hawaii-wildfire,0,aperture,temperature,jpeg70,2.6670428643266484,60,0.3531327543424318,0.3771082295109755,1.086084885720602,0.6589167917873247,0.03436118955181525
libya-flood,0,frozen,raw,clean,7.096267784671511,60,0.36382275132275127,0.4073067632850242,1.1975675270689088,0.6951127196228591,0.12808491242386344
libya-flood,0,frozen,temperature,clean,7.096267784671511,60,0.36382275132275127,0.4073067632850242,1.0793486966614827,0.6539821687368494,0.07892177236453249
libya-flood,0,frozen,raw,gaussian4,7.096267784671511,60,0.3321622017274191,0.3769409937888199,1.2246136067864002,0.714494524532655,0.14730557185589851
libya-flood,0,frozen,temperature,gaussian4,7.096267784671511,60,0.3321622017274191,0.3769409937888199,1.0831402289393948,0.6566274231457836,0.045804560693947394
libya-flood,0,frozen,raw,gaussian8,7.096267784671511,60,0.3025070417607026,0.3596877156659765,1.2299715646146094,0.715453871619204,0.18148217627886598
libya-flood,0,frozen,temperature,gaussian8,7.096267784671511,60,0.3025070417607026,0.3596877156659765,1.0841459019669297,0.6573296366026984,0.029830609908359285
libya-flood,0,frozen,raw,jpeg40,7.096267784671511,60,0.36202605767823165,0.4073067632850242,1.2150087155094618,0.7101357830910818,0.1228009328054334
libya-flood,0,frozen,temperature,jpeg40,7.096267784671511,60,0.36202605767823165,0.4073067632850242,1.0825982681645596,0.6562373456975945,0.07914433851172298
libya-flood,0,frozen,raw,jpeg70,7.096267784671511,60,0.324074074074074,0.3755607315389924,1.2011671116799074,0.7001471609174741,0.1490593056585291
libya-flood,0,frozen,temperature,jpeg70,7.096267784671511,60,0.324074074074074,0.3755607315389924,1.0795797409991552,0.6543105841357665,0.04580501548084592
libya-flood,0,lora1,raw,clean,7.516748085768888,60,0.35554015554015556,0.3941942719116632,1.2714466712619736,0.7111193406423211,0.1376256237488041
libya-flood,0,lora1,temperature,clean,7.516748085768888,60,0.35554015554015556,0.3941942719116632,1.079216303153545,0.65399196332623,0.05997859145690228
libya-flood,0,lora1,raw,gaussian4,7.516748085768888,60,0.3569023569023569,0.3941942719116632,1.2895572574235303,0.7231029527502277,0.14256961916825378
libya-flood,0,lora1,temperature,gaussian4,7.516748085768888,60,0.3569023569023569,0.3941942719116632,1.081587736358132,0.6556272273716265,0.05952166431545333
libya-flood,0,lora1,raw,gaussian8,7.516748085768888,60,0.297165991902834,0.357487922705314,1.2881619258170893,0.7220286960446257,0.16094140973314938
libya-flood,0,lora1,temperature,gaussian8,7.516748085768888,60,0.297165991902834,0.357487922705314,1.0818814286565979,0.6558745593156152,0.027739050109913437
libya-flood,0,lora1,raw,jpeg40,7.516748085768888,60,0.3272657272657273,0.3638285024154589,1.2894487541735768,0.7259457632579274,0.1790321164007624
libya-flood,0,lora1,temperature,jpeg40,7.516748085768888,60,0.3272657272657273,0.3638285024154589,1.0823682066168425,0.6561020331742411,0.02625670914426242
libya-flood,0,lora1,raw,jpeg70,7.516748085768888,60,0.34405458089668617,0.3797015182884748,1.2786275479962725,0.7150081371479782,0.163593596634206
libya-flood,0,lora1,temperature,jpeg70,7.516748085768888,60,0.34405458089668617,0.3797015182884748,1.0799949141516507,0.6545324274545556,0.04318806479511614
libya-flood,0,lora4,raw,clean,7.096267784671511,60,0.3656699889258029,0.37564699792960665,1.1799675758797354,0.7133604730139428,0.17873642340562845
libya-flood,0,lora4,temperature,clean,7.096267784671511,60,0.3656699889258029,0.37564699792960665,1.0953636957786956,0.6643922039415432,0.028918524524373167
libya-flood,0,lora4,raw,gaussian4,7.096267784671511,60,0.3280423280423281,0.34666149068322977,1.208256214984106,0.7283230132990555,0.16445405189043374
libya-flood,0,lora4,temperature,gaussian4,7.096267784671511,60,0.3280423280423281,0.34666149068322977,1.0994033230454627,0.6671322933024791,0.042532114125548304
libya-flood,0,lora4,raw,gaussian8,7.096267784671511,60,0.31225071225071227,0.33078847481021395,1.1968320960422514,0.7239571011443651,0.17396833081514892
libya-flood,0,lora4,temperature,gaussian8,7.096267784671511,60,0.31225071225071227,0.33078847481021395,1.099047725153534,0.6668450856965829,0.057967183398261186
libya-flood,0,lora4,raw,jpeg40,7.096267784671511,60,0.28977272727272724,0.31629572118702554,1.2007314167713268,0.7290623614208646,0.19355739881680056
libya-flood,0,lora4,temperature,jpeg40,7.096267784671511,60,0.28977272727272724,0.31629572118702554,1.098282809498649,0.6664045661872144,0.08220596178823894
libya-flood,0,lora4,raw,jpeg70,7.096267784671511,60,0.3638047138047138,0.3819875776397515,1.1969544148589277,0.7275043071336337,0.20225566363912062
libya-flood,0,lora4,temperature,jpeg70,7.096267784671511,60,0.3638047138047138,0.3819875776397515,1.0969762942543981,0.6655613868611643,0.02973076405703813
libya-flood,0,aperture,raw,clean,2.6670428643266484,60,0.2942721330956625,0.3004658385093168,1.1604038750590455,0.703687558817019,0.1462866984730654
libya-flood,0,aperture,temperature,clean,2.6670428643266484,60,0.2942721330956625,0.3004658385093168,1.1012938236996594,0.6688885342081323,0.06732821668913766
libya-flood,0,aperture,raw,gaussian4,2.6670428643266484,60,0.2934102934102934,0.30943754313319527,1.1439258188688426,0.6995672449229196,0.20801795738665618
libya-flood,0,aperture,temperature,gaussian4,2.6670428643266484,60,0.2934102934102934,0.30943754313319527,1.0927101613810308,0.6640404324877566,0.07346342199390361
libya-flood,0,aperture,raw,gaussian8,2.6670428643266484,60,0.2938647342995169,0.31137853692201517,1.1358914583491895,0.6823664247973831,0.13889696270394364
libya-flood,0,aperture,temperature,gaussian8,2.6670428643266484,60,0.2938647342995169,0.31137853692201517,1.0898041581784528,0.6605524356479595,0.11811088531222433
libya-flood,0,aperture,raw,jpeg40,2.6670428643266484,60,0.34594202898550724,0.3489044168391994,1.1349039722944747,0.6843552155000963,0.09552089850121
libya-flood,0,aperture,temperature,jpeg40,2.6670428643266484,60,0.34594202898550724,0.3489044168391994,1.0930153540321583,0.6628018187555748,0.044854046861082214
libya-flood,0,aperture,raw,jpeg70,2.6670428643266484,60,0.35846560846560843,0.3633971704623879,1.152046931637605,0.6986712476909785,0.09455934841349092
libya-flood,0,aperture,temperature,jpeg70,2.6670428643266484,60,0.35846560846560843,0.3633971704623879,1.0971439655742565,0.6658715193941205,0.05651588795724396
noto-earthquake,0,frozen,raw,clean,5.32145011959762,60,0.17500000000000002,0.3333333333333333,1.2372630199643184,0.749484493217722,0.23857456523305662
noto-earthquake,0,frozen,temperature,clean,5.32145011959762,60,0.17500000000000002,0.3333333333333333,1.0937971133743885,0.6636527743204776,0.09068286679338294
noto-earthquake,0,frozen,raw,gaussian4,5.32145011959762,60,0.17500000000000002,0.3333333333333333,1.2359287133620385,0.7507308720063011,0.2428706669836556
noto-earthquake,0,frozen,temperature,gaussian4,5.32145011959762,60,0.17500000000000002,0.3333333333333333,1.095147805615562,0.6646092129336337,0.05607707915522061
noto-earthquake,0,frozen,raw,gaussian8,5.32145011959762,60,0.1772151898734177,0.3333333333333333,1.2359419849877864,0.74211394231804,0.22608001521285928
noto-earthquake,0,frozen,temperature,gaussian8,5.32145011959762,60,0.1772151898734177,0.3333333333333333,1.0943413635830441,0.6639295893698176,0.042299942069348895
noto-earthquake,0,frozen,raw,jpeg40,5.32145011959762,60,0.1728395061728395,0.3333333333333333,1.2397823260074954,0.7532764284620885,0.2260410014279537
noto-earthquake,0,frozen,temperature,jpeg40,5.32145011959762,60,0.1728395061728395,0.3333333333333333,1.0948406793986285,0.664544881633748,0.0567618100833753
