domain,support_seed,method,count,macro_f1,balanced_accuracy,nll,brier,ece
noto-earthquake,0,LoRA-selected,300,0.28172102251384684,0.3433333333333333,1.1117672306725341,0.6745401015427874,0.09829866990402636
noto-earthquake,0,LoRA-selected + T,300,0.3912591664709413,0.4066666666666667,1.0900574215988603,0.660804889893306,0.040870159198678896
noto-earthquake,1,Frozen,300,0.188229238160604,0.32,1.2860715061244987,0.7671571500158717,0.2475208115467692
noto-earthquake,1,Frozen + T,300,0.188229238160604,0.32,1.1088437763477752,0.6735272090353366,0.08333641460686908
noto-earthquake,1,Frozen + all-support bias,300,0.3499478144643559,0.3566666666666667,1.1106775231834214,0.6724462292880367,0.0700510270243889
noto-earthquake,1,LoRA-1pass,300,0.2034583063994829,0.32,1.2805908725109005,0.7595453229729972,0.22458450571103358
noto-earthquake,1,LoRA-1pass + T,300,0.2034583063994829,0.32,1.1131001846725126,0.6761573723910571,0.08552579756527054
noto-earthquake,1,LoRA-4passes,300,0.3285204573714409,0.3666666666666667,1.1458940458398161,0.6967394767978305,0.11357692278053373
noto-earthquake,1,LoRA-4passes + T,300,0.3285204573714409,0.3666666666666667,1.1095617190458114,0.6745143097139412,0.05996034929181286
noto-earthquake,1,Aperture,300,0.3544178596334158,0.3633333333333333,1.1160200829147475,0.6779509526969946,0.0825864449633309
noto-earthquake,1,Aperture + T,300,0.3544178596334158,0.3633333333333333,1.104358303869076,0.6705795153048418,0.059467766609992805
noto-earthquake,1,LoRA-selected,300,0.3285204573714409,0.3666666666666667,1.1458940458398161,0.6967394767978305,0.11357692278053373
noto-earthquake,1,LoRA-selected + T,300,0.3285204573714409,0.3666666666666667,1.1095617190458114,0.6745143097139412,0.05996034929181286
noto-earthquake,2,Frozen,300,0.188229238160604,0.32,1.2860715061244987,0.7671571500158717,0.2475208115467692
noto-earthquake,2,Frozen + T,300,0.188229238160604,0.32,1.1712145714795,0.7099727751256862,0.16897130578350597
noto-earthquake,2,Frozen + all-support bias,300,0.3740922384363203,0.37333333333333335,1.1109248702299643,0.6736638544933354,0.09999511451692536
noto-earthquake,2,LoRA-1pass,300,0.19266992305973243,0.3433333333333333,1.27833280721388,0.7779375190468477,0.2725848627628566
noto-earthquake,2,LoRA-1pass + T,300,0.19266992305973243,0.3433333333333333,1.173367472474204,0.7150304865967547,0.18433020993940888
noto-earthquake,2,LoRA-4passes,300,0.3201184831758907,0.33666666666666667,1.131437587162225,0.6820900433675953,0.12075176672469168
noto-earthquake,2,LoRA-4passes + T,300,0.3201184831758907,0.33666666666666667,1.2191782194086564,0.7194224153549448,0.18237110765549464
noto-earthquake,2,Aperture,300,0.3449130040937478,0.35666666666666663,1.1017416414601333,0.6697515903829627,0.07617066827582253
noto-earthquake,2,Aperture + T,300,0.3449130040937478,0.35666666666666663,1.4727434552379854,0.8291252162834126,0.2961852017509133
noto-earthquake,2,LoRA-selected,300,0.3201184831758907,0.33666666666666667,1.131437587162225,0.6820900433675953,0.12075176672469168
noto-earthquake,2,LoRA-selected + T,300,0.3201184831758907,0.33666666666666667,1.2191782194086564,0.7194224153549448,0.18237110765549464
turkey-earthquake,0,Frozen,300,0.24576713748337453,0.3466666666666667,1.3887789541137248,0.7906882800476721,0.2348292851711103
turkey-earthquake,0,Frozen + T,300,0.24576713748337453,0.3466666666666667,1.1217808224619958,0.680128606232444,0.050914197007554854
turkey-earthquake,0,Frozen + all-support bias,300,0.30206602747586353,0.33,1.2535460734463835,0.7459034098389571,0.1669946928271615
turkey-earthquake,0,LoRA-1pass,300,0.2697632179325315,0.3433333333333333,1.2302218004230803,0.7398211387347144,0.1727000194243894
turkey-earthquake,0,LoRA-1pass + T,300,0.2697632179325315,0.3433333333333333,1.1187616858660026,0.6793178715325194,0.06888533703957192
turkey-earthquake,0,LoRA-4passes,300,0.4443560603476819,0.44,1.1351766943618775,0.6660254397233406,0.07559928351351795
turkey-earthquake,0,LoRA-4passes + T,300,0.4443560603476819,0.44,1.0987644917239576,0.6556373594393372,0.05194018776819997
turkey-earthquake,0,Aperture,300,0.3459109578976693,0.3633333333333333,1.0889854318739756,0.6615376553369796,0.08361771477007426
turkey-earthquake,0,Aperture + T,300,0.3459109578976693,0.3633333333333333,1.0774912743347147,0.6541629789367294,0.05245897647375434
turkey-earthquake,0,LoRA-selected,300,0.4443560603476819,0.44,1.1351766943618775,0.6660254397233406,0.07559928351351795
turkey-earthquake,0,LoRA-selected + T,300,0.4443560603476819,0.44,1.0987644917239576,0.6556373594393372,0.05194018776819997
turkey-earthquake,1,Frozen,300,0.24576713748337453,0.3466666666666667,1.3887789541137248,0.7906882800476721,0.2348292851711103
turkey-earthquake,1,Frozen + T,300,0.24576713748337453,0.3466666666666667,1.1409234186291641,0.6902491890172293,0.08009612052115217
turkey-earthquake,1,Frozen + all-support bias,300,0.3235131820968731,0.32666666666666666,1.230506397025087,0.738382202541136,0.1517215683823534
turkey-earthquake,1,LoRA-1pass,300,0.29945829200743596,0.3666666666666667,1.2123203570409586,0.718315478249556,0.11506727106058783
turkey-earthquake,1,LoRA-1pass + T,300,0.29945829200743596,0.3666666666666667,1.13120582723293,0.6838735569195329,0.05223710224293403
turkey-earthquake,1,LoRA-4passes,300,0.35613158500115016,0.4166666666666667,1.1091629037559765,0.6757063300224483,0.09569235446072184
turkey-earthquake,1,LoRA-4passes + T,300,0.35613158500115016,0.4166666666666667,1.0803174677204628,0.6577990496533505,0.05872492302282288
turkey-earthquake,1,Aperture,300,0.30651875995407235,0.3666666666666667,1.1752386044220455,0.7056620608934001,0.10591167980881931
turkey-earthquake,1,Aperture + T,300,0.30651875995407235,0.3666666666666667,1.285320594562822,0.7507110201421805,0.17582588814005506
turkey-earthquake,1,LoRA-selected,300,0.35613158500115016,0.4166666666666667,1.1091629037559765,0.6757063300224483,0.09569235446072184
turkey-earthquake,1,LoRA-selected + T,300,0.35613158500115016,0.4166666666666667,1.0803174677204628,0.6577990496533505,0.05872492302282288
turkey-earthquake,2,Frozen,300,0.24576713748337453,0.3466666666666667,1.3887789541137248,0.7906882800476721,0.2348292851711103
turkey-earthquake,2,Frozen + T,300,0.24576713748337453,0.3466666666666667,1.1217808224619958,0.680128606232444,0.050914197007554854
turkey-earthquake,2,Frozen + all-support bias,300,0.28848539374855164,0.3133333333333333,1.2457535254436485,0.7474390250866448,0.18496795675899694
turkey-earthquake,2,LoRA-1pass,300,0.24526515151515152,0.3233333333333333,1.2026530899706855,0.7377489971656508,0.19509949436253093
turkey-earthquake,2,LoRA-1pass + T,300,0.24526515151515152,0.3233333333333333,1.1125608687597857,0.6762358634989345,0.08081952236201531
turkey-earthquake,2,LoRA-4passes,300,0.3801002389207917,0.4000000000000001,1.2063169687054762,0.7080727214404589,0.12098023871088767
turkey-earthquake,2,LoRA-4passes + T,300,0.3801002389207917,0.4000000000000001,1.1088450113698314,0.6701081807961022,0.028527824477752407
turkey-earthquake,2,Aperture,300,0.3322841695433552,0.35333333333333333,1.1331382998689212,0.6863828371485929,0.0897951069301265
turkey-earthquake,2,Aperture + T,300,0.3322841695433552,0.35333333333333333,1.101172329695936,0.6680541260787265,0.032534874205568616
turkey-earthquake,2,LoRA-selected,300,0.3801002389207917,0.4000000000000001,1.2063169687054762,0.7080727214404589,0.12098023871088767
turkey-earthquake,2,LoRA-selected + T,300,0.3801002389207917,0.4000000000000001,1.1088450113698314,0.6701081807961022,0.028527824477752407
hospital_2,0,Frozen,300,0.5421324961844375,0.59,0.6668828552380931,0.47455183775865634,0.04348660386521998
hospital_2,0,Frozen + T,300,0.5421324961844375,0.59,0.8597875708678904,0.5801728225828032,0.22581208936609332
hospital_2,0,Frozen + all-support bias,300,0.578335832083958,0.6,0.6515506843716188,0.4598195298498776,0.015118679063193328
hospital_2,0,LoRA-1pass,300,0.35356123696930875,0.5066666666666666,0.7249844774071389,0.5305299028664984,0.18387718106056883
hospital_2,0,LoRA-1pass + T,300,0.35356123696930875,0.5066666666666666,0.7125674482705328,0.5195864156735016,0.16825206745276539
hospital_2,0,LoRA-4passes,300,0.7023809523809523,0.7066666666666667,0.8694852188408049,0.4619468313258739,0.183619179843102
hospital_2,0,LoRA-4passes + T,300,0.7023809523809523,0.7066666666666667,1.191606011720639,0.49340886064096345,0.21886638480407436
hospital_2,0,Aperture,300,0.5095199474761518,0.5766666666666667,0.6302021998335351,0.44356405637281643,0.09811588945699337
hospital_2,0,Aperture + T,300,0.5095199474761518,0.5766666666666667,0.6407436611984356,0.4520324878852731,0.12020303426589021
hospital_2,0,LoRA-selected,300,0.7023809523809523,0.7066666666666667,0.8694852188408049,0.4619468313258739,0.183619179843102
hospital_2,0,LoRA-selected + T,300,0.7023809523809523,0.7066666666666667,1.191606011720639,0.49340886064096345,0.21886638480407436
hospital_2,1,Frozen,300,0.5421324961844375,0.59,0.6668828552380931,0.47455183775865634,0.04348660386521998
hospital_2,1,Frozen + T,300,0.5421324961844375,0.59,0.8855647271697019,0.5895062616159411,0.2351229550462146
hospital_2,1,Frozen + all-support bias,300,0.578335832083958,0.6,0.6560916684535618,0.4641857012361306,0.036942282016012636
hospital_2,1,LoRA-1pass,300,0.5423950414023534,0.5800000000000001,0.6672233258572443,0.47767777441708487,0.07374562317564579
hospital_2,1,LoRA-1pass + T,300,0.5423950414023534,0.5800000000000001,0.7191060749046614,0.5103814397642583,0.13053328932729247
hospital_2,1,LoRA-4passes,300,0.5604395604395604,0.6,1.9802086954746596,0.7143720774164302,0.3368428530260206
hospital_2,1,LoRA-4passes + T,300,0.5604395604395604,0.6,2.8944102090095893,0.7401480138132193,0.35753565137561893
hospital_2,1,Aperture,300,0.6758563074352548,0.6766666666666667,0.593131654283494,0.4094992428265065,0.03433257943622484
hospital_2,1,Aperture + T,300,0.6758563074352548,0.6766666666666667,0.5971508188628271,0.4141950747920741,0.08632681843170603
hospital_2,1,LoRA-selected,300,0.5604395604395604,0.6,1.9802086954746596,0.7143720774164302,0.3368428530260206
hospital_2,1,LoRA-selected + T,300,0.5604395604395604,0.6,2.8944102090095893,0.7401480138132193,0.35753565137561893
hospital_2,2,Frozen,300,0.5421324961844375,0.59,0.6668828552380931,0.47455183775865634,0.04348660386521998
hospital_2,2,Frozen + T,300,0.5421324961844375,0.59,0.6663489456512224,0.4740258351302944,0.020416820655652312
hospital_2,2,Frozen + all-support bias,300,0.626006581385685,0.6299999999999999,0.6501060563620491,0.45844960584114536,0.047016354753956956
hospital_2,2,LoRA-1pass,300,0.3464052287581699,0.5033333333333333,0.8191274427367571,0.6013356041009184,0.25653726830828133
hospital_2,2,LoRA-1pass + T,300,0.3464052287581699,0.5033333333333333,0.7281662092870175,0.5335652460646196,0.18320430420728084
hospital_2,2,LoRA-4passes,300,0.6659580929243851,0.67,1.1280851696860161,0.5582170102060003,0.2606399728017143
hospital_2,2,LoRA-4passes + T,300,0.6659580929243851,0.67,4.150491127746744,0.6363385952313318,0.31144417562400095
hospital_2,2,Aperture,300,0.6645195920558239,0.6666666666666667,0.5993898407649733,0.415177099730023,0.054388249794472224
hospital_2,2,Aperture + T,300,0.6645195920558239,0.6666666666666667,0.8377552122721107,0.49584850100304084,0.1791935004326246
hospital_2,2,LoRA-selected,300,0.6659580929243851,0.67,1.1280851696860161,0.5582170102060003,0.2606399728017143
hospital_2,2,LoRA-selected + T,300,0.6659580929243851,0.67,4.150491127746744,0.6363385952313318,0.31144417562400095
bridge_pick_place,0,Frozen,400,0.23000187778191095,0.32,1.673655849195668,0.8656865125299809,0.31177284101347424
bridge_pick_place,0,Frozen + T,400,0.23000187778191095,0.32,1.3508143071953225,0.7329158071455327,0.12113804344315662
bridge_pick_place,0,Frozen + all-support bias,400,0.44351718934503215,0.44499999999999995,1.2350778466526848,0.6637908266717062,0.05207375657127369
bridge_pick_place,0,LoRA-1pass,400,0.726835068961005,0.7275,1.0312127220985194,0.43297206307751296,0.19125841338188332
bridge_pick_place,0,LoRA-1pass + T,400,0.726835068961005,0.7275,0.7122646482118117,0.36621289640616345,0.07469683380903325
bridge_pick_place,0,LoRA-4passes,400,0.7604486957369168,0.7625,1.4101237014592334,0.4276041502594376,0.20218665714083622
bridge_pick_place,0,LoRA-4passes + T,400,0.7604486957369168,0.7625,0.644959672017398,0.32673834534840185,0.09231631694929857
bridge_pick_place,0,Aperture,400,0.45356274208012737,0.4625,1.177439752416305,0.6432028380227002,0.06343915918744965
bridge_pick_place,0,Aperture + T,400,0.45356274208012737,0.4625,1.1899163546635807,0.6487473923636622,0.04490262358884699
bridge_pick_place,0,LoRA-selected,400,0.726835068961005,0.7275,1.0312127220985194,0.43297206307751296,0.19125841338188332
bridge_pick_place,0,LoRA-selected + T,400,0.7604486957369168,0.7625,0.644959672017398,0.32673834534840185,0.09231631694929857
bridge_pick_place,1,Frozen,400,0.23000187778191095,0.32,1.673655849195668,0.8656865125299809,0.31177284101347424
bridge_pick_place,1,Frozen + T,400,0.23000187778191095,0.32,1.3354362455421325,0.7245582357824825,0.05330314990072907
bridge_pick_place,1,Frozen + all-support bias,400,0.4457564235389194,0.4475,1.2340413545396203,0.6626043494719507,0.05161786985048369
bridge_pick_place,1,LoRA-1pass,400,0.7996338396326741,0.8,0.6340049529370468,0.3039300724597176,0.08644793187561192
