domain,support_seed,arm,optimized_scalars,basis_scalars,serialized_state_bytes,optimizer_updates,fitting_visits,basis_visits,fit_wall_seconds,extraction_seconds,temperature_scalars,output_bias_scalars,gpu,latency_repeat_count,seconds_per_query_mean,seconds_per_query_repeat_sd,peak_allocated_bytes
hospital_2,0,lora1,10092544,0,40409563,12,12,0,3.0981890839757398,0.0,1,0,NVIDIA GeForce RTX 4090,3,0.1254798116117147,0.0002449995935722265,16668512768
hospital_2,0,lora4,10092544,0,40409563,48,48,0,10.795439510955475,0.0,1,0,NVIDIA GeForce RTX 4090,3,0.1247551998078254,0.0011964716610742894,16668512768
hospital_2,0,aperture,1024,32768,138679,4,48,12,6.493262341013178,1.6797121909912676,1,0,NVIDIA GeForce RTX 4090,3,0.11014244430569105,0.0007453747000214057,16628147200
hospital_2,1,frozen,0,0,0,0,0,0,0.0006638090126216412,0.0,1,1,NVIDIA GeForce RTX 4090,0,,,16628142592
hospital_2,1,lora1,10092544,0,40409563,12,12,0,3.1164350530598313,0.0,1,0,NVIDIA GeForce RTX 4090,0,,,16668512768
hospital_2,1,lora4,10092544,0,40409563,48,48,0,10.123407681006938,0.0,1,0,NVIDIA GeForce RTX 4090,0,,,16668512768
hospital_2,1,aperture,1024,32768,138679,4,48,12,5.8622743380256,1.6873024229425937,1,0,NVIDIA GeForce RTX 4090,0,,,16628147200
hospital_2,2,frozen,0,0,0,0,0,0,0.0005320749478414655,0.0,1,1,NVIDIA GeForce RTX 4090,0,,,16628142592
hospital_2,2,lora1,10092544,0,40409563,12,12,0,2.990689084981568,0.0,1,0,NVIDIA GeForce RTX 4090,0,,,16668512768
hospital_2,2,lora4,10092544,0,40409563,48,48,0,10.289119967026636,0.0,1,0,NVIDIA GeForce RTX 4090,0,,,16668512768
hospital_2,2,aperture,1024,32768,138679,4,48,12,6.730633703991771,1.794558524969034,1,0,NVIDIA GeForce RTX 4090,0,,,16628147200
bridge_pick_place,0,frozen,0,0,0,0,0,0,0.0006132670678198338,0.0,1,3,NVIDIA GeForce RTX 4090,3,0.5938175135557282,0.0005378875466744343,17151186944
bridge_pick_place,0,lora1,10092544,0,40409563,24,24,0,10.239028044044971,0.0,1,0,NVIDIA GeForce RTX 4090,3,0.6373737082499752,0.0020315497981788846,17191557120
bridge_pick_place,0,lora4,10092544,0,40409563,96,96,0,38.40931441995781,0.0,1,0,NVIDIA GeForce RTX 4090,3,0.6166422047503551,0.0005184470558929347,17191557120
bridge_pick_place,0,aperture,1024,32768,138679,4,96,24,28.596446747076698,6.145549383945763,1,0,NVIDIA GeForce RTX 4090,3,0.6013080823371032,0.003936330681366074,17151192064
bridge_pick_place,1,frozen,0,0,0,0,0,0,0.0005261319456622005,0.0,1,3,NVIDIA GeForce RTX 4090,0,,,17162314752
bridge_pick_place,1,lora1,10092544,0,40409563,24,24,0,10.352798791020177,0.0,1,0,NVIDIA GeForce RTX 4090,0,,,17202684928
bridge_pick_place,1,lora4,10092544,0,40409563,96,96,0,39.40068585705012,0.0,1,0,NVIDIA GeForce RTX 4090,0,,,17202684928
bridge_pick_place,1,aperture,1024,32768,138679,4,96,24,28.997005218057893,6.185535744996741,1,0,NVIDIA GeForce RTX 4090,0,,,17162319872
bridge_pick_place,2,frozen,0,0,0,0,0,0,0.0005147129995748401,0.0,1,3,NVIDIA GeForce RTX 4090,0,,,17162314752
bridge_pick_place,2,lora1,10092544,0,40409563,24,24,0,10.209997626021504,0.0,1,0,NVIDIA GeForce RTX 4090,0,,,17202684928
bridge_pick_place,2,lora4,10092544,0,40409563,96,96,0,38.84996336500626,0.0,1,0,NVIDIA GeForce RTX 4090,0,,,17202684928
bridge_pick_place,2,aperture,1024,32768,138679,4,96,24,28.314831737079658,6.046346838003956,1,0,NVIDIA GeForce RTX 4090,0,,,17162319872
droid_pick_place,0,frozen,0,0,0,0,0,0,0.000678603071719408,0.0,1,3,NVIDIA GeForce RTX 4090,3,0.640328356362362,0.0014458076152911183,17122969088
droid_pick_place,0,lora1,10092544,0,40409563,24,24,0,10.31258154695388,0.0,1,0,NVIDIA GeForce RTX 4090,3,0.6621875500843291,0.002485631450599903,17163339264
droid_pick_place,0,lora4,10092544,0,40409563,96,96,0,39.65681394608691,0.0,1,0,NVIDIA GeForce RTX 4090,3,0.6790589477233072,0.0008099298540606205,17163339264
droid_pick_place,0,aperture,1024,32768,138679,4,96,24,29.782401201082394,6.325411344063468,1,0,NVIDIA GeForce RTX 4090,3,0.6470053056093295,0.0005403475315877718,17122974208
droid_pick_place,1,frozen,0,0,0,0,0,0,0.0005232369294390082,0.0,1,3,NVIDIA GeForce RTX 4090,0,,,17124787712
droid_pick_place,1,lora1,10092544,0,40409563,24,24,0,10.342551724985242,0.0,1,0,NVIDIA GeForce RTX 4090,0,,,17165157888
droid_pick_place,1,lora4,10092544,0,40409563,96,96,0,39.28108437103219,0.0,1,0,NVIDIA GeForce RTX 4090,0,,,17165157888
droid_pick_place,1,aperture,1024,32768,138679,4,96,24,29.136576610966586,6.195581034058705,1,0,NVIDIA GeForce RTX 4090,0,,,17124792832
droid_pick_place,2,frozen,0,0,0,0,0,0,0.0006026789778843522,0.0,1,3,NVIDIA GeForce RTX 4090,0,,,17124787712
droid_pick_place,2,lora1,10092544,0,40409563,24,24,0,10.34552607103251,0.0,1,0,NVIDIA GeForce RTX 4090,0,,,17165157888
droid_pick_place,2,lora4,10092544,0,40409563,96,96,0,39.504985470091924,0.0,1,0,NVIDIA GeForce RTX 4090,0,,,17165157888
droid_pick_place,2,aperture,1024,32768,138679,4,96,24,29.519352119998075,6.322563752997667,1,0,NVIDIA GeForce RTX 4090,0,,,17124792832
droid_arti,0,frozen,0,0,0,0,0,0,0.0006719689117744565,0.0,1,3,NVIDIA GeForce RTX 4090,3,0.6365499699184309,0.0006836461073477796,17118724608
droid_arti,0,lora1,10092544,0,40409563,24,24,0,10.330105738947168,0.0,1,0,NVIDIA GeForce RTX 4090,3,0.654223515331978,0.0004890769264984668,17159094784
droid_arti,0,lora4,10092544,0,40409563,96,96,0,39.36681446805596,0.0,1,0,NVIDIA GeForce RTX 4090,3,0.6746160376383665,0.0008609705494252584,17159094784
droid_arti,0,aperture,1024,32768,138679,4,96,24,29.8167104749009,6.328483868041076,1,0,NVIDIA GeForce RTX 4090,3,0.6365305460025814,0.0014701284468047761,17118729728
droid_arti,1,frozen,0,0,0,0,0,0,0.0005599829601123929,0.0,1,3,NVIDIA GeForce RTX 4090,0,,,17122961920
droid_arti,1,lora1,10092544,0,40409563,24,24,0,10.404709893045947,0.0,1,0,NVIDIA GeForce RTX 4090,0,,,17163332096
droid_arti,1,lora4,10092544,0,40409563,96,96,0,38.79940421495121,0.0,1,0,NVIDIA GeForce RTX 4090,0,,,17163332096
droid_arti,1,aperture,1024,32768,138679,4,96,24,29.815617704065517,6.310840927995741,1,0,NVIDIA GeForce RTX 4090,0,,,17122967040
droid_arti,2,frozen,0,0,0,0,0,0,0.000625000917352736,0.0,1,3,NVIDIA GeForce RTX 4090,0,,,17122961920
droid_arti,2,lora1,10092544,0,40409563,24,24,0,10.341403845930472,0.0,1,0,NVIDIA GeForce RTX 4090,0,,,17163332096
droid_arti,2,lora4,10092544,0,40409563,96,96,0,39.3839976079762,0.0,1,0,NVIDIA GeForce RTX 4090,0,,,17163332096
droid_arti,2,aperture,1024,32768,138679,4,96,24,30.725553566007875,6.5723987659439445,1,0,NVIDIA GeForce RTX 4090,0,,,17122967040
