domain,support_seed,comparison,selected_lora,macro_f1,balanced_accuracy,nll,brier,ece
hospital_2,1,Aperture-temperature minus LoRA-selected + T,lora4,0.11541674699569437,0.07666666666666677,-2.2972593901467624,-0.32595293902114514,-0.2712088329439129
hospital_2,2,Aperture-raw minus LoRA-selected,lora4,-0.0014385008685612322,-0.0033333333333332993,-0.5286953289210429,-0.14303991047597736,-0.2062517230072421
hospital_2,2,Aperture-temperature minus LoRA-selected,lora4,-0.0014385008685612322,-0.0033333333333332993,-0.29032995741390544,-0.0623685092029595,-0.0814464723690897
hospital_2,2,Aperture-raw minus LoRA-selected + T,lora4,-0.0014385008685612322,-0.0033333333333332993,-3.5511012869817704,-0.22116149550130887,-0.25705592582952874
hospital_2,2,Aperture-temperature minus LoRA-selected + T,lora4,-0.0014385008685612322,-0.0033333333333332993,-3.312735915474633,-0.140490094228291,-0.13225067519137634
bridge_pick_place,0,Aperture-raw minus LoRA-selected,lora1,-0.27327232688087766,-0.265,0.1462270303177855,0.21023077494518722,-0.12781925419443368
bridge_pick_place,0,Aperture-temperature minus LoRA-selected,lora1,-0.27327232688087766,-0.265,0.15870363256506126,0.21577532928614923,-0.14635578979303632
bridge_pick_place,0,Aperture-raw minus LoRA-selected + T,lora4,-0.3068859536567894,-0.29999999999999993,0.5324800803989069,0.3164644926742983,-0.028877157761848918
bridge_pick_place,0,Aperture-temperature minus LoRA-selected + T,lora4,-0.3068859536567894,-0.29999999999999993,0.5449566826461827,0.32200904701526034,-0.04741369336045158
bridge_pick_place,1,Aperture-raw minus LoRA-selected,lora4,-0.30035709526343024,-0.3025,-1.06786390395224,0.2476350099830203,-0.12413343220055248
bridge_pick_place,1,Aperture-temperature minus LoRA-selected,lora4,-0.30035709526343024,-0.3025,-1.0726468056488145,0.24532327850974217,-0.1289817937586576
bridge_pick_place,1,Aperture-raw minus LoRA-selected + T,lora1,-0.28794765176174597,-0.29000000000000004,-0.607278970336941,0.24425140774610526,-0.11390918053975899
bridge_pick_place,1,Aperture-temperature minus LoRA-selected + T,lora1,-0.28794765176174597,-0.29000000000000004,-0.6120618720335156,0.24193967627282714,-0.1187575420978641
bridge_pick_place,2,Aperture-raw minus LoRA-selected,lora1,-0.24341959718902473,-0.24,0.2050761887837078,0.24881219810088334,-0.07248502021906732
bridge_pick_place,2,Aperture-temperature minus LoRA-selected,lora1,-0.24341959718902473,-0.24,0.21175925902177717,0.25328457785645214,-0.06792937956808773
bridge_pick_place,2,Aperture-raw minus LoRA-selected + T,lora4,-0.2146576483903857,-0.2124999999999999,0.38333417484329246,0.2279653230163688,-0.03213323558958901
bridge_pick_place,2,Aperture-temperature minus LoRA-selected + T,lora4,-0.2146576483903857,-0.2124999999999999,0.3900172450813618,0.2324377027719376,-0.027577594938609423
droid_pick_place,0,Aperture-raw minus LoRA-selected,lora1,-0.36427914424796953,-0.30749999999999994,0.032693568466055645,0.17041073265501405,-0.12951741357188334
droid_pick_place,0,Aperture-temperature minus LoRA-selected,lora1,-0.36427914424796953,-0.30749999999999994,0.02555149738291007,0.16633851262225674,-0.1936071531474186
droid_pick_place,0,Aperture-raw minus LoRA-selected + T,lora4,-0.40888012497567033,-0.3525,0.509598042208231,0.29125864629304743,0.021160887559943983
droid_pick_place,0,Aperture-temperature minus LoRA-selected + T,lora4,-0.40888012497567033,-0.3525,0.5024559711250854,0.2871864262602901,-0.042928852015591296
droid_pick_place,1,Aperture-raw minus LoRA-selected,lora1,-0.2927040561902824,-0.26250000000000007,0.405766298999925,0.25346759568399485,-0.07224024290532534
droid_pick_place,1,Aperture-temperature minus LoRA-selected,lora1,-0.2927040561902824,-0.26250000000000007,0.41528047956878134,0.2589502244037018,-0.04010761730748047
droid_pick_place,1,Aperture-raw minus LoRA-selected + T,lora4,-0.2744923216713776,-0.255,0.3710371309789112,0.22258106268401262,-0.04496573789978732
droid_pick_place,1,Aperture-temperature minus LoRA-selected + T,lora4,-0.2744923216713776,-0.255,0.38055131154776756,0.22806369140371957,-0.012833112301942451
droid_pick_place,2,Aperture-raw minus LoRA-selected,lora1,-0.3983729089755754,-0.3275,0.27637310672113546,0.21819668096111577,-0.04323963822625054
droid_pick_place,2,Aperture-temperature minus LoRA-selected,lora1,-0.3983729089755754,-0.3275,0.2634922094837393,0.21420029275985764,-0.12637079628053016
droid_pick_place,2,Aperture-raw minus LoRA-selected + T,lora4,-0.4444930215237439,-0.375,0.4802480433924715,0.27537601711272436,-0.048924384114930636
