domain,method,n_support_seeds,query_count_per_state,macro_f1_mean,macro_f1_sd,balanced_accuracy_mean,balanced_accuracy_sd,nll_mean,nll_sd,brier_mean,brier_sd,ece_mean,ece_sd
libya-flood,Frozen + all-support bias,3,300,0.3594360576913848,0.014923500622321421,0.3811111111111112,0.00962250448649376,1.0982017498223673,0.0005815242749817148,0.6650786435075863,0.0010483322010300642,0.08152106127506166,0.010939092825328593
libya-flood,LoRA-1pass,3,300,0.2996038872933657,0.022728007009116594,0.3844444444444444,0.013877773329774185,1.3636285480098824,0.06516372928614657,0.7620924472463185,0.010579229527130793,0.1820624906964352,0.03167743332868392
libya-flood,LoRA-1pass + T,3,300,0.2996038872933657,0.022728007009116594,0.3844444444444444,0.013877773329774185,1.0997987095979251,0.003480489087495492,0.6670156154891997,0.0017712507004447513,0.010223102303157329,0.002178374068422838
libya-flood,LoRA-4passes,3,300,0.3421213214702618,0.026746710068574524,0.38222222222222224,0.02912298316018033,1.1330566833809281,0.023353293816582802,0.6848738039839102,0.01300182375371646,0.10521943567156845,0.03221190149846756
libya-flood,LoRA-4passes + T,3,300,0.3421213214702618,0.026746710068574524,0.38222222222222224,0.02912298316018033,1.1050869138141648,0.026119695560302164,0.669031567563426,0.0145494774466319,0.04319976189008714,0.046342156299000084
libya-flood,Aperture,3,300,0.34793987651962704,0.06361427093086006,0.3755555555555556,0.04857220665420975,1.1286880340583654,0.03088420253050896,0.6845520856895485,0.020360347907916035,0.11200902129151329,0.03381163486398053
libya-flood,Aperture + T,3,300,0.34793987651962704,0.06361427093086006,0.3755555555555556,0.04857220665420975,1.1022844625908703,0.01645269342044291,0.6686224714424162,0.010029439969320174,0.06342708617923841,0.015400988088050073
libya-flood,LoRA-selected,3,300,0.3421213214702618,0.026746710068574524,0.38222222222222224,0.02912298316018033,1.1330566833809281,0.023353293816582802,0.6848738039839102,0.01300182375371646,0.10521943567156845,0.03221190149846756
libya-flood,LoRA-selected + T,3,300,0.324819769361457,0.04228955449813879,0.38999999999999996,0.016666666666666663,1.106616280422237,0.025180924813993383,0.6699857238369971,0.014041968816527731,0.04166155514442808,0.04792780271084718
noto-earthquake,Frozen,3,300,0.188229238160604,0.0,0.32,0.0,1.2860715061244987,0.0,0.7671571500158717,0.0,0.2475208115467692,0.0
noto-earthquake,Frozen + T,3,300,0.188229238160604,0.0,0.32,0.0,1.1270700945030645,0.038423199227153475,0.6840016095709222,0.022631440883342742,0.10854863565323199,0.052565820075659714
noto-earthquake,Frozen + all-support bias,3,300,0.3633606714640461,0.012293505984577069,0.36666666666666664,0.008819171036881951,1.1118971212182693,0.0019022215290501131,0.6737864798311431,0.0014055807224649555,0.08229792086328959,0.015698452789783
noto-earthquake,LoRA-1pass,3,300,0.22594975065768738,0.04859962321985206,0.33555555555555555,0.013471506281091259,1.223563636799105,0.09682511054387835,0.7373409811875441,0.055159143233204325,0.19848934612597216,0.0900257589283962
noto-earthquake,LoRA-1pass + T,3,300,0.22594975065768738,0.04859962321985206,0.33555555555555555,0.013471506281091259,1.1267491144316761,0.04151233426033639,0.6848467551873769,0.0269125438919671,0.09874354740199136,0.07980302387917698
noto-earthquake,LoRA-4passes,3,300,0.3466327023394243,0.03887530409214636,0.37000000000000005,0.035118845842842465,1.13571719626974,0.008850445366148147,0.6854731453227078,0.010013014316657812,0.10548555578102276,0.020543902548798943
noto-earthquake,LoRA-4passes + T,3,300,0.3466327023394243,0.03887530409214636,0.37000000000000005,0.035118845842842465,1.139599120017776,0.06960408895763598,0.684913871654064,0.0306613231811888,0.09440053871532879,0.07678036590945858
noto-earthquake,Aperture,3,300,0.3414412557601462,0.015016550451034075,0.3633333333333333,0.006666666666666654,1.1095937204142672,0.007245203458004164,0.6733958350930003,0.0041748835505796165,0.08492594411958028,0.010129712328175035
noto-earthquake,Aperture + T,3,300,0.3414412557601462,0.015016550451034075,0.3633333333333333,0.006666666666666654,1.2225650561938781,0.21677013537530357,0.7203325069430239,0.09433160140940998,0.12248323093922502,0.152306969843445
noto-earthquake,LoRA-selected,3,300,0.3101199876870595,0.024950435061891835,0.34888888888888886,0.01575271875417538,1.1296996212248585,0.017129660608577225,0.6844565405694044,0.011287306905687603,0.11087578646975059,0.011467671613567251
noto-earthquake,LoRA-selected + T,3,300,0.3466327023394243,0.03887530409214636,0.37000000000000005,0.035118845842842465,1.139599120017776,0.06960408895763598,0.684913871654064,0.0306613231811888,0.09440053871532879,0.07678036590945858
turkey-earthquake,Frozen,3,300,0.24576713748337453,0.0,0.3466666666666667,0.0,1.3887789541137245,2.7194799110210365e-16,0.7906882800476721,0.0,0.23482928517111032,3.3993498887762956e-17
turkey-earthquake,Frozen + T,3,300,0.24576713748337453,0.0,0.3466666666666667,0.0,1.1281616878510519,0.011051983050102913,0.6835021338273725,0.005843121195151707,0.060641504845420614,0.01684819139604648
turkey-earthquake,Frozen + all-support bias,3,300,0.3046882011070961,0.017660502117945263,0.3233333333333333,0.008819171036881995,1.2432686653050398,0.011719111307213,0.7439082124889126,0.004846866823467281,0.16789473932283727,0.01664145870389487
turkey-earthquake,LoRA-1pass,3,300,0.271495553818373,0.027138070303913474,0.3444444444444444,0.021688023662159068,1.2150650824782414,0.013987801374645881,0.731961871383307,0.01186345130395143,0.1609555949491694,0.04128847080425275
turkey-earthquake,LoRA-1pass + T,3,300,0.271495553818373,0.027138070303913474,0.3444444444444444,0.021688023662159068,1.120842793952906,0.009495097538643305,0.6798090973169956,0.0038424689036170036,0.06731398721484043,0.014355853864179532
turkey-earthquake,LoRA-4passes,3,300,0.39352929475654125,0.045619559051161974,0.4188888888888889,0.020092379244472325,1.1502188556077766,0.05029341950259127,0.6832681637287492,0.022019978921447417,0.09742395889504248,0.022739978322200278
turkey-earthquake,LoRA-4passes + T,3,300,0.39352929475654125,0.045619559051161974,0.4188888888888889,0.020092379244472325,1.0959756569380839,0.014466802904022441,0.6611815299629299,0.0078058982486560475,0.046397645089591745,0.01584316965267113
turkey-earthquake,Aperture,3,300,0.3282379624650323,0.020005378239298145,0.3611111111111111,0.006938886664887114,1.1324541120549807,0.04313065647976322,0.6845275177929908,0.02212063400674406,0.09310816716967335,0.01151032125530588
turkey-earthquake,Aperture + T,3,300,0.3282379624650323,0.020005378239298145,0.3611111111111111,0.006938886664887114,1.1546613995311577,0.11377199580958937,0.6909760417192121,0.05219618499109419,0.08693991293979268,0.07761945570071029
turkey-earthquake,LoRA-selected,3,300,0.39352929475654125,0.045619559051161974,0.4188888888888889,0.020092379244472325,1.1502188556077766,0.05029341950259127,0.6832681637287492,0.022019978921447417,0.09742395889504248,0.022739978322200278
turkey-earthquake,LoRA-selected + T,3,300,0.39352929475654125,0.045619559051161974,0.4188888888888889,0.020092379244472325,1.0959756569380839,0.014466802904022441,0.6611815299629299,0.0078058982486560475,0.046397645089591745,0.01584316965267113
hospital_2,Frozen,3,300,0.5421324961844375,0.0,0.59,0.0,0.6668828552380931,0.0,0.47455183775865634,0.0,0.043486603865219985,8.498374721940739e-18
hospital_2,Frozen + T,3,300,0.5421324961844375,0.0,0.59,0.0,0.8039004145629383,0.1198182807278591,0.5479016397763462,0.06414829814673603,0.1604506216893201,0.1213621527861176
hospital_2,Frozen + all-support bias,3,300,0.5942260818512003,0.027522719941823242,0.61,0.017320508075688724,0.6525828030624099,0.003123433971036699,0.46081827897571787,0.002995633899088435,0.03302577194438764,0.016305511858697913
