domain,support_seed,arm,temperature,calibration_count,raw_calibration_nll,temperature_calibration_nll,selected_lora_raw,selected_lora_temperature
bridge_pick_place,1,aperture,0.7516748085768885,8,1.0682984437748149,1.049716982678011,lora4,lora1
bridge_pick_place,2,frozen,2.9924713121888673,8,1.6141742662640362,1.303322193942833,lora1,lora4
bridge_pick_place,2,lora1,3.1697863849222285,8,1.4668590852221461,0.7810367435923237,lora1,lora4
bridge_pick_place,2,lora4,4.477442277136681,8,1.5652298738213537,0.5518854803103477,lora1,lora4
bridge_pick_place,2,aperture,0.5636765862528909,8,0.9985975286013229,0.9357819807484898,lora1,lora4
droid_pick_place,0,frozen,4.226978079673295,8,1.8442774518801632,1.3768166514633493,lora1,lora4
droid_pick_place,0,lora1,2.5178508235883355,8,1.0586549714495164,0.7152379686990578,lora1,lora4
droid_pick_place,0,lora4,4.226978079673295,8,1.6663260475460324,0.6125399059492337,lora1,lora4
droid_pick_place,0,aperture,3.767298178979603,8,1.562709102457339,1.4005026873493003,lora1,lora4
droid_pick_place,1,frozen,5.32145011959762,8,1.8618357058370918,1.4006379687846584,lora1,lora4
droid_pick_place,1,lora1,3.767298178979603,8,1.879471133225398,1.322246782175052,lora1,lora4
droid_pick_place,1,lora4,12.619146889603869,8,8.000245766970124,1.2012017160043567,lora1,lora4
droid_pick_place,1,aperture,2.9924713121888673,8,1.515076471013728,1.3831312950894734,lora1,lora4
droid_pick_place,2,frozen,10.61768888461977,8,2.3896121358726923,1.4265816692772013,lora1,lora4
droid_pick_place,2,lora1,4.226978079673295,8,2.159881985685886,1.2704178948270137,lora1,lora4
droid_pick_place,2,lora4,5.023772863019162,8,2.5794100607784034,1.257183313972319,lora1,lora4
droid_pick_place,2,aperture,7.962143411069948,8,1.875992656815653,1.4243902013430585,lora1,lora4
droid_arti,0,frozen,3.1697863849222285,8,1.632724116365378,1.3498271322162962,lora1,lora1
droid_arti,0,lora1,0.7962143411069947,8,0.22923001858229813,0.21464611682574164,lora1,lora1
droid_arti,0,lora4,6.32455532033676,8,3.04689159080534,0.6579130753746012,lora1,lora1
droid_arti,0,aperture,0.709626778467151,8,1.1850498879506066,1.1693382411072237,lora1,lora1
droid_arti,1,frozen,3.1697863849222285,8,1.6447344734058336,1.3640410173654811,lora1,lora1
droid_arti,1,lora1,1.3366878351372296,8,0.43701294853448747,0.42097875175929256,lora1,lora1
droid_arti,1,lora4,5.32145011959762,8,1.5727816001701762,0.5593940808671904,lora1,lora1
droid_arti,1,aperture,0.5636765862528909,8,1.1496764695509827,1.0947100426602987,lora1,lora1
droid_arti,2,frozen,3.9905246299377604,8,1.7609912762321214,1.3701375961744926,lora1,lora4
droid_arti,2,lora1,0.7962143411069947,8,0.6357031688867002,0.619589031878702,lora1,lora4
droid_arti,2,lora4,2.377004454874037,8,0.7054711479747108,0.388768383481899,lora1,lora4
droid_arti,2,aperture,2.0000000000000004,8,1.4121163443619331,1.3449032162314178,lora1,lora4
